tipo_cruzamento,cidade,radar_leman_id,radar_leman_area_m2,radar_leman_link,concorrencia_agencia,concorrencia_url,concorrencia_area_m2,diferenca_area_pct,divisoes_compativeis,radar_leman_endereco,radar_leman_surface_m2,radar_leman_surface_terrain_m2,radar_leman_nb_pieces,concorrencia_superficie_m2,concorrencia_superficie_terreno_m2,concorrencia_num_divisoes,diferenca_habitavel_pct,diferenca_terreno_pct,bate_por,diferenca_relevante_pct
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.361272,6.457078",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-4-pieces-52778750#section-video,,,True,"1 Chemin des Mésanges, 74200 Thonon-les-Bains",91.0,411.0,4.0,91.0,,4.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371206,6.481675",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-4-pieces-52784559,,,True,"1 Rue des Granges, 74200 Thonon-les-Bains",96.0,229.0,4.0,96.0,,4.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371206,6.481675",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-4-pieces-52784559#section-video,,,True,"1 Rue des Granges, 74200 Thonon-les-Bains",96.0,229.0,4.0,96.0,,4.0,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.396819,6.57938",Leman Property Évian,https://www.leman-property.com/vente/appartement/evian-les-bains/appartement-4-pieces-a-evian-les-bains-charme-et-confort-au-coeur-de-la-ville/,,,,"43 Boulevard De La Detanche, 74500 Évian-les-Bains",82.0,6770.0,4.0,82.0,,,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.399269,6.586674",Leman Property Évian,https://www.leman-property.com/vente/appartement/evian-les-bains/appartement-t4-rez-de-jardin-evian-les-bains/,,,,"31 Boulevard Jean Jaures, 74500 Évian-les-Bains",96.0,519.0,4.0,96.0,,,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.400232,6.588835",Leman Property Évian,https://www.leman-property.com/vente/appartement/evian-les-bains/evian-les-bains-appartement-a-renover/,,,,"1 Avenue Docteur Dumur, 74500 Évian-les-Bains",60.0,318.0,1.0,60.0,,,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.399191,6.605802",Leman Property Évian,https://www.leman-property.com/vente/appartement/evian-les-bains/maison-mitoyenne-80-m2/,,,,"24 Avenue D Abondance - Rd 24, 74500 Évian-les-Bains",81.0,3836.0,3.0,81.0,,,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371376,6.477479",Leman Property Thonon,https://www.leman-property.com/vente/appartement/thonon-les-bains/appartement-t2-avec-bon-rendement-locatif-plein-centre-ville/,,,,"21 Boulevard Carnot, 74200 Thonon-les-Bains",28.0,575.0,1.0,28.0,,,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.363128,6.475821",Leman Property Thonon,https://www.leman-property.com/vente/appartement/thonon-les-bains/appartement-t2-thonon-les-bains/,,,,"4 Impasse de la Faucille, 74200 Thonon-les-Bains",48.0,827.0,3.0,48.0,,,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.364518,6.474555",Leman Property Thonon,https://www.leman-property.com/vente/appartement/thonon-les-bains/appartement-t3-coup-de-coeur/,,,,"33 Rue des Alpes, 74200 Thonon-les-Bains",50.0,1530.0,2.0,50.0,,,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.365132,6.477048",Leman Property Thonon,https://www.leman-property.com/vente/appartement/thonon-les-bains/en-exclusivite-t2-rez-de-jardin-thonon-st-disdille/,,,,"2 Impasse du Jura, 74200 Thonon-les-Bains",44.0,795.0,2.0,44.0,,,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371708,6.47967",Leman Property Thonon,https://www.leman-property.com/vente/appartement/thonon-les-bains/thonon-les-bains-t2-duplex-renove-vue-lac/,,,,"1 Rue Saint-Sébastien, 74200 Thonon-les-Bains",40.0,65.0,3.0,40.0,,,0.0,,habitavel,0.0
apartamento,Évian-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.399896,6.593038",Poirier Immobilier Évian,https://www.poirier-immobilier.com/vente/5-evian-les-bains/appartement/2010-appartement-de-standing-centre-ville-d-evian-les-bains,,,True,"8 Avenue Des Sources, 74500 Évian-les-Bains",63.0,439.0,3.0,63.0,,3.0,0.0,,habitavel,0.0
